Date,Price,Open,High,Low,Vol.,Change %
4/15/13,"14,599.20","14,865.06","14,865.06","14,598.58",161.68M,-1.79%
4/16/13,"14,756.78","14,599.20","14,761.73","14,599.20",126.31M,1.08%
4/17/13,"14,618.59","14,756.78","14,756.78","14,560.81",168.01M,-0.94%
4/18/13,"14,537.14","14,618.59","14,650.26","14,495.29",158.05M,-0.56%
4/19/13,"14,547.51","14,537.14","14,553.73","14,444.03",207.20M,0.07%
4/22/13,"14,567.17","14,547.51","14,588.83","14,457.60",146.89M,0.14%
4/23/13,"14,719.46","14,567.17","14,721.42","14,554.29",137.32M,1.05%
4/24/13,"14,676.30","14,719.46","14,747.42","14,666.54",138.02M,-0.29%
4/25/13,"14,700.80","14,676.30","14,768.05","14,665.45",129.60M,0.17%
4/26/13,"14,712.55","14,700.80","14,743.49","14,684.82",128.91M,0.08%
4/29/13,"14,818.75","14,712.55","14,844.96","14,712.55",97.06M,0.72%
4/30/13,"14,839.80","14,818.75","14,839.80","14,734.47",148.25M,0.14%
5/1/13,"14,700.95","14,839.80","14,839.80","14,687.05",112.62M,-0.94%
5/2/13,"14,831.58","14,700.95","14,834.63","14,700.95",91.18M,0.89%
5/3/13,"14,973.96","14,831.58","15,009.59","14,831.58",119.89M,0.96%
5/6/13,"14,968.89","14,973.96","14,988.87","14,941.09",116.16M,-0.03%
5/7/13,"15,056.20","14,968.89","15,056.67","14,968.89",117.23M,0.58%
5/8/13,"15,105.12","15,056.20","15,106.81","15,021.87",113.51M,0.32%
5/9/13,"15,082.62","15,105.12","15,144.83","15,046.87",97.81M,-0.15%
5/10/13,"15,118.49","15,082.62","15,118.49","15,038.18",98.98M,0.24%
5/13/13,"15,091.68","15,113.42","15,113.42","15,053.46",94.28M,-0.18%
5/14/13,"15,215.25","15,092.15","15,219.55","15,089.30",124.59M,0.82%
5/15/13,"15,275.69","15,211.87","15,301.34","15,175.39",124.03M,0.40%
5/16/13,"15,233.22","15,273.92","15,302.49","15,215.82",145.09M,-0.28%
5/17/13,"15,354.40","15,234.75","15,357.40","15,234.75",175.75M,0.80%
5/20/13,"15,335.28","15,348.33","15,391.84","15,314.15",116.42M,-0.12%
5/21/13,"15,387.58","15,334.97","15,434.50","15,325.68",122.97M,0.34%
5/22/13,"15,307.17","15,387.12","15,542.40","15,265.96",171.85M,-0.52%
5/23/13,"15,294.50","15,300.57","15,348.41","15,180.23",148.81M,-0.08%
5/24/13,"15,303.10","15,290.74","15,306.71","15,199.63",105.66M,0.06%
5/28/13,"15,409.39","15,307.33","15,521.49","15,307.33",130.68M,0.69%
5/29/13,"15,302.80","15,399.94","15,400.25","15,229.53",114.02M,-0.69%
5/30/13,"15,324.53","15,306.02","15,398.70","15,280.99",121.15M,0.14%
5/31/13,"15,115.57","15,322.22","15,392.38","15,115.57",208.83M,-1.36%
6/3/13,"15,254.03","15,123.55","15,254.11","15,123.55",147.98M,0.92%
6/4/13,"15,177.54","15,255.22","15,304.98","15,100.78",134.28M,-0.50%
6/5/13,"14,960.59","15,168.10","15,168.63","14,945.57",141.40M,-1.43%
6/6/13,"15,040.62","14,955.45","15,040.62","14,844.22",140.41M,0.53%
6/7/13,"15,248.12","15,044.46","15,255.58","15,044.46",137.38M,1.38%
6/10/13,"15,238.59","15,247.81","15,300.64","15,211.25",94.25M,-0.06%
6/11/13,"15,122.02","15,231.38","15,251.07","15,086.09",101.61M,-0.76%
6/12/13,"14,995.23","15,130.39","15,241.28","14,981.21",105.77M,-0.84%
6/13/13,"15,176.08","14,992.54","15,202.27","14,953.45",104.49M,1.21%
6/14/13,"15,070.18","15,178.08","15,205.92","15,044.80",107.43M,-0.70%
6/17/13,"15,179.85","15,078.71","15,261.71","15,078.71",139.25M,0.73%
6/18/13,"15,318.23","15,186.30","15,340.09","15,186.30",99.21M,0.91%
6/19/13,"15,112.19","15,315.47","15,322.07","15,112.11",111.38M,-1.35%
6/20/13,"14,758.32","15,105.51","15,105.51","14,732.03",172.63M,-2.34%
6/21/13,"14,799.40","14,760.62","14,858.56","14,688.43",420.08M,0.28%
6/24/13,"14,659.56","14,795.79","14,795.79","14,551.27",158.67M,-0.94%
6/25/13,"14,760.31","14,669.69","14,812.03","14,669.69",135.94M,0.69%
6/26/13,"14,910.14","14,769.99","14,938.98","14,769.68",133.23M,1.02%
6/27/13,"15,024.49","14,921.28","15,075.01","14,921.28",113.65M,0.77%
6/28/13,"14,909.60","15,016.58","15,034.63","14,884.80",230.00M,-0.76%
7/1/13,"14,974.96","14,911.60","15,083.28","14,911.60",120.57M,0.44%
7/2/13,"14,932.41","14,973.04","15,049.22","14,870.51",116.61M,-0.28%
7/3/13,"14,988.55","14,923.73","15,025.90","14,858.93",61.00M,0.38%
7/5/13,"15,135.84","14,995.46","15,137.51","14,971.20",94.56M,0.98%
7/8/13,"15,224.69","15,137.22","15,262.72","15,137.22",136.82M,0.59%
7/9/13,"15,300.34","15,228.46","15,320.42","15,228.46",109.27M,0.50%
7/10/13,"15,291.66","15,298.03","15,348.95","15,258.89",105.05M,-0.06%
7/11/13,"15,460.92","15,298.00","15,483.55","15,298.00",124.95M,1.11%
7/12/13,"15,464.30","15,460.69","15,498.39","15,410.27",130.14M,0.02%
7/15/13,"15,484.26","15,459.69","15,509.48","15,455.77",99.43M,0.13%
7/16/13,"15,451.85","15,485.03","15,498.16","15,415.71",105.97M,-0.21%
7/17/13,"15,470.52","15,456.92","15,502.00","15,438.12",126.24M,0.12%
7/18/13,"15,548.54","15,465.91","15,589.40","15,465.91",136.27M,0.50%
7/19/13,"15,543.74","15,524.27","15,544.55","15,491.96",229.26M,-0.03%
7/22/13,"15,545.55","15,543.97","15,576.21","15,516.20",130.82M,0.01%
7/23/13,"15,567.74","15,547.00","15,604.22","15,544.06",98.69M,0.14%
7/24/13,"15,542.24","15,576.69","15,602.60","15,496.84",99.32M,-0.16%
7/25/13,"15,555.61","15,539.17","15,560.33","15,455.59",103.26M,0.09%
7/26/13,"15,558.83","15,547.85","15,560.97","15,405.16",94.88M,0.02%
7/29/13,"15,521.97","15,557.14","15,557.14","15,482.27",87.24M,-0.24%
7/30/13,"15,520.59","15,534.49","15,593.91","15,479.13",117.55M,-0.01%
7/31/13,"15,499.54","15,528.57","15,634.32","15,492.96",145.12M,-0.14%
8/1/13,"15,628.02","15,503.85","15,650.69","15,503.85",111.04M,0.83%
8/2/13,"15,658.36","15,627.56","15,658.43","15,558.68",104.84M,0.19%
8/5/13,"15,612.13","15,651.98","15,655.21","15,584.83",76.85M,-0.30%
8/6/13,"15,518.74","15,608.44","15,608.44","15,473.40",87.73M,-0.60%
8/7/13,"15,470.67","15,516.21","15,516.21","15,421.75",88.43M,-0.31%
8/8/13,"15,498.32","15,477.27","15,557.12","15,418.60",90.99M,0.18%
8/9/13,"15,425.51","15,496.63","15,507.76","15,346.65",81.18M,-0.47%
8/12/13,"15,419.68","15,415.22","15,441.75","15,359.93",78.06M,-0.04%
8/13/13,"15,451.01","15,420.68","15,504.14","15,342.34",84.79M,0.20%
8/14/13,"15,337.66","15,447.71","15,453.08","15,316.62",91.03M,-0.73%
8/15/13,"15,112.19","15,332.71","15,332.71","15,094.03",128.34M,-1.47%
8/16/13,"15,081.47","15,112.57","15,139.77","15,054.38",151.62M,-0.20%
